,precision,recall,f1-score,support
(vertigo)_paroymsal_positional_vertigo,1.0,1.0,1.0,16.0
acne,1.0,1.0,1.0,17.0
aids,1.0,1.0,1.0,11.0
alcoholic_hepatitis,1.0,1.0,1.0,21.0
allergy,1.0,1.0,1.0,21.0
arthritis,1.0,1.0,1.0,13.0
bronchial_asthma,1.0,1.0,1.0,20.0
cervical_spondylosis,1.0,1.0,1.0,12.0
chicken_pox,1.0,1.0,1.0,22.0
chronic_cholestasis,1.0,1.0,1.0,16.0
common_cold,1.0,1.0,1.0,18.0
dengue,1.0,1.0,1.0,17.0
diabetes,1.0,1.0,1.0,12.0
dimorphic_hemmorhoids(piles),1.0,1.0,1.0,17.0
drug_reaction,1.0,1.0,1.0,15.0
fungal_infection,1.0,1.0,1.0,17.0
gastroenteritis,1.0,1.0,1.0,19.0
gerd,1.0,1.0,1.0,24.0
heart_attack,1.0,1.0,1.0,21.0
hepatitis_a,1.0,1.0,1.0,24.0
hepatitis_b,1.0,1.0,1.0,20.0
hepatitis_c,1.0,1.0,1.0,19.0
hepatitis_d,1.0,1.0,1.0,25.0
hepatitis_e,1.0,1.0,1.0,15.0
hypertension,1.0,1.0,1.0,20.0
hyperthyroidism,1.0,1.0,1.0,20.0
hypoglycemia,1.0,1.0,1.0,15.0
hypothyroidism,1.0,1.0,1.0,20.0
impetigo,1.0,1.0,1.0,26.0
jaundice,1.0,1.0,1.0,15.0
malaria,1.0,1.0,1.0,14.0
migraine,1.0,1.0,1.0,24.0
osteoarthristis,1.0,1.0,1.0,11.0
paralysis_(brain_hemorrhage),1.0,1.0,1.0,9.0
peptic_ulcer_diseae,1.0,1.0,1.0,17.0
pneumonia,1.0,1.0,1.0,19.0
psoriasis,1.0,1.0,1.0,23.0
tuberculosis,1.0,1.0,1.0,17.0
typhoid,1.0,1.0,1.0,18.0
urinary_tract_infection,1.0,1.0,1.0,14.0
varicose_veins,1.0,1.0,1.0,16.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,730.0
weighted avg,1.0,1.0,1.0,730.0
