,precision,recall,f1-score,support
(vertigo)_paroymsal_positional_vertigo,1.0,1.0,1.0,6.0
acne,0.0,0.0,0.0,0.0
aids,0.0,0.0,0.0,0.0
alcoholic_hepatitis,1.0,1.0,1.0,12.0
allergy,0.0,0.0,0.0,0.0
arthritis,1.0,1.0,1.0,6.0
bronchial_asthma,1.0,1.0,1.0,12.0
cervical_spondylosis,1.0,1.0,1.0,78.0
chicken_pox,0.0,0.0,0.0,0.0
chronic_cholestasis,1.0,1.0,1.0,12.0
common_cold,1.0,1.0,1.0,6.0
dengue,1.0,1.0,1.0,66.0
diabetes,1.0,1.0,1.0,12.0
dimorphic_hemmorhoids(piles),0.0,0.0,0.0,0.0
drug_reaction,0.0,0.0,0.0,0.0
fungal_infection,0.0,0.0,0.0,0.0
gastroenteritis,1.0,1.0,1.0,90.0
gerd,1.0,1.0,1.0,17.0
heart_attack,0.0,0.0,0.0,0.0
hepatitis_a,0.0,0.0,0.0,0.0
hepatitis_b,1.0,1.0,1.0,12.0
hepatitis_c,1.0,1.0,1.0,6.0
hepatitis_d,1.0,1.0,1.0,12.0
hepatitis_e,1.0,1.0,1.0,6.0
hypertension,0.0,0.0,0.0,0.0
hyperthyroidism,1.0,1.0,1.0,72.0
hypoglycemia,1.0,1.0,1.0,12.0
hypothyroidism,1.0,1.0,1.0,78.0
impetigo,1.0,1.0,1.0,12.0
jaundice,1.0,1.0,1.0,78.0
malaria,1.0,1.0,1.0,12.0
migraine,1.0,1.0,1.0,6.0
osteoarthristis,1.0,1.0,1.0,12.0
paralysis_(brain_hemorrhage),1.0,1.0,1.0,24.0
peptic_ulcer_diseae,1.0,1.0,1.0,6.0
pneumonia,1.0,1.0,1.0,6.0
psoriasis,1.0,1.0,1.0,6.0
tuberculosis,1.0,1.0,1.0,78.0
typhoid,1.0,1.0,1.0,12.0
urinary_tract_infection,0.0,0.0,0.0,0.0
varicose_veins,0.0,0.0,0.0,0.0
micro avg,1.0,1.0,1.0,767.0
macro avg,0.7073170731707317,0.7073170731707317,0.7073170731707317,767.0
weighted avg,1.0,1.0,1.0,767.0
