,precision,recall,f1-score,support
(vertigo)_paroymsal_positional_vertigo,1.0,1.0,1.0,24.0
acne,1.0,1.0,1.0,90.0
aids,1.0,1.0,1.0,12.0
alcoholic_hepatitis,1.0,1.0,1.0,90.0
allergy,0.0,0.0,0.0,0.0
arthritis,1.0,1.0,1.0,96.0
bronchial_asthma,1.0,1.0,1.0,12.0
cervical_spondylosis,0.0,0.0,0.0,0.0
chicken_pox,1.0,1.0,1.0,12.0
chronic_cholestasis,1.0,1.0,1.0,18.0
common_cold,1.0,1.0,1.0,18.0
dengue,1.0,1.0,1.0,24.0
diabetes,1.0,1.0,1.0,12.0
dimorphic_hemmorhoids(piles),1.0,1.0,1.0,6.0
drug_reaction,1.0,1.0,1.0,66.0
fungal_infection,0.0,0.0,0.0,0.0
gastroenteritis,1.0,1.0,1.0,12.0
gerd,0.0,0.0,0.0,0.0
heart_attack,1.0,1.0,1.0,90.0
hepatitis_a,1.0,1.0,1.0,12.0
hepatitis_b,1.0,1.0,1.0,12.0
hepatitis_c,1.0,1.0,1.0,18.0
hepatitis_d,1.0,1.0,1.0,66.0
hepatitis_e,1.0,1.0,1.0,24.0
hypertension,0.8089887640449438,1.0,0.8944099378881988,72.0
hyperthyroidism,1.0,1.0,1.0,18.0
hypoglycemia,0.0,0.0,0.0,0.0
hypothyroidism,1.0,1.0,1.0,18.0
impetigo,0.0,0.0,0.0,0.0
jaundice,1.0,1.0,1.0,12.0
malaria,1.0,1.0,1.0,78.0
migraine,1.0,1.0,1.0,84.0
osteoarthristis,1.0,1.0,1.0,6.0
paralysis_(brain_hemorrhage),1.0,0.05555555555555555,0.10526315789473684,18.0
peptic_ulcer_diseae,1.0,1.0,1.0,12.0
pneumonia,1.0,1.0,1.0,6.0
psoriasis,1.0,1.0,1.0,6.0
tuberculosis,1.0,1.0,1.0,12.0
typhoid,1.0,1.0,1.0,72.0
urinary_tract_infection,1.0,1.0,1.0,6.0
varicose_veins,1.0,1.0,1.0,96.0
micro avg,0.9861788617886179,0.9861788617886179,0.9861788617886179,1230.0
macro avg,0.8489997259523157,0.8306233062330624,0.82926031940934,1230.0
weighted avg,0.9888188544806795,0.9861788617886179,0.9807254084309396,1230.0
